"id","c1a","c1b","c1c","c1d","c1e","c1f","c1g","c1h","c1i","c1j","c1k","c1l","c1m","c1n","c1o","c1p","c1q","c1r","d1a","d1b","d1c","d1d","d1e","d1f","d1g","e1a","e1b","e1c","e1d","e1e","e1f","e1g","e1h","e1i","e1j","f1a","f1b","f1c","f1d","f1e","f1f","f1g","f2a1","f2b1","f2c1","f2d1","f2e1","f2f1","f2g1","f5a","f5b","f5c","f5d","h1a","h1b","h1c","h1d","h1e","h1f","h1g","h1h","h1i","h1j","h1k","h1l","h1m","h1n","h1o","h1p","education","near_03f","city","numBehaviors","cityRate"
10,5,5,5,5,2,1,2,2,2,3,4,2,3,4,2,4,2,4,5,5,2,4,2,2,4,5,2,2,2,4,4,2,5,2,4,5,4,5,4,4,4,4,1,1,1,1,1,0,1,3,2,2,4,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,3,800.950920645,"Alpine",3,2.60625
12,5,5,5,4,1,2,4,1,2,4,5,3,2,2,3,3,2,4,5,4,2,4,2,2,4,1,3,4,2,4,4,2,4,4,4,5,5,4,4,3,4,4,1,1,1,1,1,1,0,4,3,3,4,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,3,2.73067880476,"Alpine",3,2.60625
15,2,2,4,2,4,4,3,4,2,4,5,2,2,1,1,5,1,1,4,4,2,3,1,1,4,1,4,4,2,3,4,2,4,3,1,4,4,5,4,3,2,2,1,1,1,1,0,0,0,4,2,2,5,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,6,555.138411404,"Alpine",1,2.60625
18,2,4,5,4,1,1,1,1,1,4,4,1,1,1,1,4,1,2,5,5,2,5,1,1,4,1,1,5,1,1,5,1,1,5,2,5,5,5,5,5,5,5,1,1,1,1,1,1,1,4,3,4,2,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,2,261.147652939,"Alpine",4,2.60625
23,4.11481372961073,4.33794754467594,4.2502411825674,4.04139876003677,2.17212791107521,1.67926301212261,2.80481800288207,2.11499197851519,1.67918928576081,4.95115936861464,4.43810943838289,1.58492728074754,2.07409236311894,2.51060027585523,1.4778449763537,3.94442437432976,1.22070358878728,2.52166635625649,4,4,3,2,2,2,3,3,3,2,2,3,4,2,4,4,4,4,5,5,5,5,3,4,1,1,1,0,1,0,0,4,3,4,4,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,3,1352.30187052,"Alpine",1,2.60625
32,4,5,5,5,3,4,2,3,3,4,4,3,3,3,4,3,3,4,4,4,4,3,3,3,4,4,3,3,2,4,4,3,4,4,4,5,5,5,5,5,5,5,1,1,1,1,1,1,1,2,2,3,2,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3,0.8167450241,"Alpine",4,2.60625
33,4,4,4,4,2.65032539013731,2.5488351753613,3.31043332449797,2.59944149059122,2.10045772314007,3.50222978444781,4.4650021217742,3.11832638374664,3.25980014651254,3.78447601534355,2.78416921038436,3.71473345878073,3.010204354057,3.0525472361096,4,3.08612688270605,3,4,2,3,4,2,2,4,2,4,4,2,4,3,4,4,4,5,5,4,4,5,1,1,1,1,1,1,1,3,3,3,3,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,6,43.9920785375,"Alpine",4,2.60625
37,5,5,4,5,3,4,3,4,2,3,4,2,3,3,2,3,3,4,3,4,3,3,4,3,4,4,2,4,2,5,4,3,4,3,4,5,5,5,4,5,4,3,1,1,0,1,0,0,0,3,3,1,4,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,2,225.609248342,"Alpine",1,2.60625
41,4,4,4,4,2,2,2,2,2,4,4,2,3,3,2,4,2,4,4,5,2,3,2,1,4,2,3,4,3,5,4,2,4,3,3,5,4,5,3,3,4,3,1,1,1,0,1,1,0,4,1,3,4,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,3,1161.05924053,"Alpine",2,2.60625
42,4.42237787905692,4.38118811168578,3.88809304839111,3.56453438057083,2.52718545647335,2.68315845675749,2.53737938204558,2.29010099373799,1.59212306235578,3.58180848692944,3.9398687042676,2.24177057414027,3.6723938091189,3.80436247663748,1.85887485837064,4.30171746766912,2.74916205140873,3.31663994347641,3.89317775353857,4.1089288909675,2.76639786183274,3.39954873050213,2.52261967490174,1.99013065292346,3.54403321068126,3.34974427671545,2.78362388929934,3.28666707551875,2.14595577096959,4.30662456966374,4.20445996401696,2.92286060996193,4.11688341389911,2.45465132739418,4.13371484822956,4.05348031666079,4.37635600385194,4.56414491672722,4.22414156997263,4.04993491358436,4.10002850464882,4.18560982111318,1,1,1,1,1,1,1,3.70296571084066,3.56581841810972,2.80395802045488,2.90936350372035,0.0275090771110996,0.253870900205081,1.07638620547988,0.841813291881614,0.335567318773602,0.183443365552327,0.980664115505017,0.943843771863919,0.938939651065786,0.9609710790321,0.336733769291761,0.256408443703349,-0.0458985887758395,0.289571279104119,0.715889983005793,0.669936216501708,6,154.686408455,"Alpine",4,2.60625
