"id","e1a","e1c","e1f","e1g","f5a","f5b","f5c","f1a","f1b","f1c","f1d","f1e","f1f","f1g","f2a1","f2b1","f2c1","f2d1","f2e1","f2f1","f2g1","h1a","h1b","h1c","near_03f","cityRate","numBehaviors"
10,5,2,4,2,3,2,2,5,4,5,4,4,4,4,1,1,1,1,1,0,1,0,0,0,800.950920645,2.60625,3
12,1,4,4,2,4,3,3,5,5,4,4,3,4,4,1,1,1,1,1,1,0,0,0,1,2.73067880476,2.60625,3
15,1,4,4,2,4,2,2,4,4,5,4,3,2,2,1,1,1,1,0,0,0,1,0,0,555.138411404,2.60625,1
18,1,5,5,1,4,3,4,5,5,5,5,5,5,5,1,1,1,1,1,1,1,0,1,1,261.147652939,2.60625,4
23,3,2,4,2,4,3,4,4,5,5,5,5,3,4,1,1,1,0,1,0,0,0,1,1,1352.30187052,2.60625,1
32,4,3,4,3,2,2,3,5,5,5,5,5,5,5,1,1,1,1,1,1,1,0,1,1,0.8167450241,2.60625,4
33,2,4,4,2,3,3,3,4,4,5,5,4,4,5,1,1,1,1,1,1,1,0,0,1,43.9920785375,2.60625,4
37,4,4,4,3,3,3,1,5,5,5,4,5,4,3,1,1,0,1,0,0,0,0,0,1,225.609248342,2.60625,1
41,2,4,4,2,4,1,3,5,4,5,3,3,4,3,1,1,1,0,1,1,0,0,0,1,1161.05924053,2.60625,2
42,2.34379619488523,3.91003046942331,4.60753110863662,2.06765827099334,4.06174600373563,3.09279613231359,3.71747502502994,4.04986166965198,4.21476713927754,4.39050410268427,3.90842769429484,3.89370518723083,3.5792064034825,4.08727869242025,1,1,1,1,1,1,1,0.0598929848347671,0.436136650788612,0.78918302249379,154.686408455,2.60625,4
46,2,4,4,2,5,3,5,4,4,4,4,3,4,4,1,1,1,1,0,0,1,0,1,1,1086.75620524,2.60625,2
53,2,5,5,2,5,5,5,5,5,5,3,4,3,5,1,1,1,0,0,0,1,0,0,1,2156.92872399,2.60625,1
57,2,2,4,2,4.08729534882448,3.12468776997759,4.17697143028336,4,4,4,4,4,3,3,1,1,1,1,1,1,1,0,0,1,2167.55020211,2.60625,4
60,2,4,3,4,4,2,4,5,4,5,4,4,4,4,1,1,1,1,1,1,1,0,0,0,406.665652225,2.60625,4
61,2,1,2,4,3.78541588387415,2.57621842802025,3.53767063882523,2,2,4,2,2,2,2,1,1,1,1,1,1,1,0,0,1,438.854902307,2.60625,4
62,4,2,4,2,3,3,2,4,4,4,4,4,4,4,1,1,0,1,1,1,0,0,0,1,252.639197985,2.60625,3
63,5,2,4,5,4,3,2,5,5,5,4,4,3,3,1,1,0,0,0,0,0,0,0,1,272.401911304,2.60625,0
68,2,4,5,1,4.18873193340751,3.69925491235957,3.62022463190878,4,5,5,5,5,5,5,1,1,1,1,1,1,1,0,0,1,1288.97400944,2.60625,4
72,1,4,5,1,5,5,4,4,4,5,5,4,4,4,1,1,1,1,0,0,0,0,0,1,1398.03757532,2.60625,1
74,2,4,5,2,4,3,4,4,4,4,4,4,4,4,1,1,1,0,1,1,1,0,0,1,0,2.34883720930233,3
75,4,2,4,3,4,3,5,4,4,5,4,3,3,5,0,1,1,1,0,0,1,0,1,1,93.7609913617,2.34883720930233,2
79,4,4,4,2,4,2,4,5,4,4,5,4,3,3,1,1,0,1,1,0,0,0,0,1,69.8585932679,2.34883720930233,2
82,5,5,5,2,4,2,2,5,5,5,5,5,5,5,1,1,1,0,0,0,1,0,0,1,1.33655276578,2.34883720930233,1
84,1,2,4,2,4,4,4,5,5,5,5,5,5,5,1,1,0,1,1,1,1,0,1,0,16.1494171739,2.34883720930233,4
89,1,5,4.93753599771139,1,5,5,5,5,5,4,5,4,4,4,1,1,0,1,1,1,1,0,0,1,199.086548743,2.34883720930233,4
90,4,3.47430924514643,5,2,4,3,3,5,5,5,5,5,5,5,1,1,0,1,0,0,0,0,0,1,199.086548743,2.34883720930233,1
92,2,5,5,1,3,3,3,5,4,4,4,4,3,4,1,1,0,1,0,0,1,0,0,1,199.086548743,2.34883720930233,2
93,2,4,4,2,2,2,2,4,4,5,4,3,3,4,1,1,1,1,1,0,0,0,0,0,498.725033197,2.34883720930233,2
97,2,4,4,2,2,1,1,5,5,5,5,4,4,4,1,1,1,1,1,1,1,0,0,0,634.884008026,2.34883720930233,4
101,2,4,4,2,5,4,5,4,4,4,4,3,3,4,1,0,1,1,0,0,0,0,0,1,43.0300329647,2.60625,1
104,2,4,3,3,5,4,4,5,5,5,5,5,5,5,1,0,1,1,0,1,1,0,1,1,47.325622055,2.60625,3
105,2,4,4,2,2,2,3,2,4,5,2,2,2,4,0,1,1,0,0,0,0,0,0,1,523.306762635,2.60625,0
109,1,3,4,5,2,2,2,5,5,5,5,5,5,5,1,1,0,1,1,0,1,0,1,1,195.215110247,2.60625,3
124,4,2,4,2,5,2,4,2,3,4,4,3,2,2,0,0,1,1,1,1,0,0,0,1,145.808062165,2.60625,3
128,2,4,5,2,5,5,4,5,5,5,5,5,5,5,1,1,1,1,1,1,1,0,1,1,757.138596141,2.60625,4
133,1,2,2,4,5,4,4,5,5,5,5,5,5,1,1,0,0,0,0,1,0,0,1,1,220.939096264,2.60625,1
147,2,4,3,4,4,4,4,2,2,4,4,4,4,4,1,1,1,0,0,1,0,0,0,1,1687.98939779,2.60625,1
148,2,5,4,1,4,4,4,4,4,5,4,4,3,4,1,0,1,0,0,0,0,0,1,1,2466.63609368,2.60625,0
151,4,2,4,2,5,3,3,4,4,4,4,4,4,4,1,1,1,1,1,1,1,0,0,1,261.800165727,2.60625,4
153,2,4,5,1,1,4,5,4,3,4,5,5,5,5,1,1,1,1,1,1,1,0,1,1,757.253454862,2.60625,4
167,2,4,4,2,2,2,2,4,4,4,3,4,4,4,1,1,1,1,1,1,1,0,0,0,1288.97400944,2.60625,4
172,2,4,4,2,4,4,1,4,4,4,4,4,4,4,1,0,1,1,1,1,1,0,1,1,0,2.34883720930233,4
177,1,5,4,2.88185354450872,2.90172898767858,2.79388780247719,1.8279525429783,4,4,1,3,3,3,2,1,1,1,1,1,1,1,0,0,0,2.1138890467,2.34883720930233,4
181,4,2,3,3,4,3,3,4,4,4,4,3,3,3,1,1,1,1,0,0,1,0,0,1,143.698259719,2.34883720930233,2
184,4,3,4,3,4,3,3,4,4,3,3,3,4,4,0,1,1,0,0,0,0,0,1,1,0,2.34883720930233,0
195,5,1,4,2.76301130750599,4,2,4,4,2,5,4,2,5,5,1,1,1,1,1,1,1,0,1,1,0,2.60625,4
198,3,3,4,2,5,3,5,2,4,5,4,4,4,5,1,1,1,1,1,1,1,0,1,1,140.150142445,2.60625,4
202,2,4,5,2,3,2,4,4,4,5,5,4,4,4,0,1,1,0,0,0,0,0,0,1,198.339706796,2.60625,0
203,2,4,4,2,2,1,4,5,4,5,4,4,4,5,1,1,1,1,1,1,1,0,0,1,122.541526758,2.60625,4
204,2,3,4,1,5,4,4,5,5,5,5,5,5,5,1,1,0,1,1,1,1,0,0,1,131.343642332,2.60625,4
205,1,5,4,2,3,1,4,5,5,5,5,4,4,5,1,1,1,1,1,1,1,0,1,1,21.7819807457,2.60625,4
206,4,2,5,1,5,5,5,4,4,4,4,4,4,4,1,1,0,1,1,0,0,0,0,1,280.152797428,2.60625,2
208,2,3,5,4,4,4,1,5,5,5,5,5,3,3,1,1,1,1,0,0,0,0,1,1,0,2.60625,1
